[OpenCVCamera @ factory.py:85][DEBUG] 2017-10-27 19:30:11,892: Logging to: logs/record_video_demo/OpenCVCamera/record_video_demo.log
[OpenCVCamera @ camera.py:123][INFO] 2017-10-27 19:30:11,893: Loading capture '0'
[OpenCVCamera @ node.py:71][INFO] 2017-10-27 19:30:14,894: received 32 messages in 3 seconds. 32 received in total (avg=10.7 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-27 19:30:17,895: received 36 messages in 3 seconds. 68 received in total (avg=11.3 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-27 19:30:20,979: received 37 messages in 3 seconds. 105 received in total (avg=11.6 messages/sec)
[OpenCVCamera @ node.py:79][DEBUG] 2017-10-27 19:30:21,394: [log buffer start]
[DEBUG, 1509147018.2311308]: ImageMessage(t=1509147018.231127, n=71)
[DEBUG, 1509147018.30931]: ImageMessage(t=1509147018.3093061, n=72)
[DEBUG, 1509147018.396589]: ImageMessage(t=1509147018.396586, n=73)
[DEBUG, 1509147018.48291]: ImageMessage(t=1509147018.482906, n=74)
[DEBUG, 1509147018.560333]: ImageMessage(t=1509147018.56033, n=75)
[DEBUG, 1509147018.6474419]: ImageMessage(t=1509147018.647438, n=76)
[DEBUG, 1509147018.733048]: ImageMessage(t=1509147018.733045, n=77)
[DEBUG, 1509147018.821653]: ImageMessage(t=1509147018.821651, n=78)
[DEBUG, 1509147018.899905]: ImageMessage(t=1509147018.8999, n=79)
[DEBUG, 1509147018.974964]: ImageMessage(t=1509147018.9749608, n=80)
[DEBUG, 1509147019.0608268]: ImageMessage(t=1509147019.060818, n=81)
[DEBUG, 1509147019.147829]: ImageMessage(t=1509147019.147827, n=82)
[DEBUG, 1509147019.233951]: ImageMessage(t=1509147019.2339468, n=83)
[DEBUG, 1509147019.311371]: ImageMessage(t=1509147019.311368, n=84)
[DEBUG, 1509147019.397922]: ImageMessage(t=1509147019.397919, n=85)
[DEBUG, 1509147019.4841442]: ImageMessage(t=1509147019.484141, n=86)
[DEBUG, 1509147019.561968]: ImageMessage(t=1509147019.561965, n=87)
[DEBUG, 1509147019.647851]: ImageMessage(t=1509147019.647847, n=88)
[DEBUG, 1509147019.7452009]: ImageMessage(t=1509147019.7451992, n=89)
[DEBUG, 1509147019.812163]: ImageMessage(t=1509147019.81216, n=90)
[DEBUG, 1509147019.898358]: ImageMessage(t=1509147019.898356, n=91)
[DEBUG, 1509147019.9836102]: ImageMessage(t=1509147019.983605, n=92)
[DEBUG, 1509147020.058738]: ImageMessage(t=1509147020.0587351, n=93)
[DEBUG, 1509147020.1460779]: ImageMessage(t=1509147020.1460748, n=94)
[DEBUG, 1509147020.233414]: ImageMessage(t=1509147020.233411, n=95)
[DEBUG, 1509147020.307245]: ImageMessage(t=1509147020.307242, n=96)
[DEBUG, 1509147020.393787]: ImageMessage(t=1509147020.393784, n=97)
[DEBUG, 1509147020.482274]: ImageMessage(t=1509147020.48227, n=98)
[DEBUG, 1509147020.567153]: ImageMessage(t=1509147020.5671492, n=99)
[DEBUG, 1509147020.640492]: ImageMessage(t=1509147020.64049, n=100)
[DEBUG, 1509147020.747721]: ImageMessage(t=1509147020.7477188, n=101)
[DEBUG, 1509147020.812741]: ImageMessage(t=1509147020.812738, n=102)
[DEBUG, 1509147020.890653]: ImageMessage(t=1509147020.890649, n=103)
[DEBUG, 1509147020.9792361]: ImageMessage(t=1509147020.9792309, n=104)
[DEBUG, 1509147021.0565782]: ImageMessage(t=1509147021.056575, n=105)
[DEBUG, 1509147021.143297]: ImageMessage(t=1509147021.143295, n=106)
[DEBUG, 1509147021.230168]: ImageMessage(t=1509147021.230164, n=107)
[DEBUG, 1509147021.28036]: ImageMessage(t=1509147021.2803578, n=108)
[DEBUG, 1509147021.3165681]: ImageMessage(t=1509147021.316565, n=109)
[DEBUG, 1509147021.392372]: ImageMessage(t=1509147021.392368, n=110)
[log buffer end]
[OpenCVCamera @ node.py:81][DEBUG] 2017-10-27 19:30:21,395: logging message buffer (len=7636)
[OpenCVCamera @ node.py:102][INFO] 2017-10-27 19:30:21,395: Node took 9.502722024917603s to run
